species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,27396,preservedspecimen,1,united states,illinois,mississippi river batchtown waterfowl area along rock bluff above cockrell hollow north america,,39.03065,-90.67862,
Amblema plicata,uf,21921-mollusca,preservedspecimen,1,united states,mississippi,sunflower river 2.6 mi s indianola,1969,,,
Amblema plicata,inhs,34610,preservedspecimen,1,united states,illinois,running lake ditch 0.5 mi w ware ware wolf lake rd. north america,2009,37.44713,-89.40145,
Amblema plicata,inhs,43409,preservedspecimen,1,united states,illinois,rock river rock falls lawrence park north america,2012,41.78331,-89.7011,
Amblema plicata,omnh,15430,preservedspecimen,1,united states,oklahoma,university of oklahoma biological station,1976,33.882103,-96.800233,
Amblema plicata,inhs,32479,preservedspecimen,1,united states,illinois,east fork lamoine river 5 mi w tennessee co. rd. 3000e north america,2002,40.4059,-90.9276,
Amblema plicata,inhs,36631,preservedspecimen,1,united states,illinois,illinois river 5.5 mi s pearl river mile 37.8 north america,1995,39.37996,-90.61845,
Amblema plicata,uf,67889-mollusca,preservedspecimen,1,united states,missouri,st. joseph,1914,,,
Amblema plicata,ansp,a14681,preservedspecimen,1,united states,ohio,cincinnati ohio river,,39.15,-84.45,
Amblema plicata,ansp,a17274,preservedspecimen,1,united states,arkansas,upriver from route 122 at ferry crossing about 2 miles north of oil trough white river,1991,35.630833,-91.460277,
Amblema plicata,ansp,19432,preservedspecimen,2,united states,indiana,wabash river,,,,
Amblema plicata,inhs,8013,preservedspecimen,5,united states,illinois,ohio river mound city river mile 972.8- 973.1 north america,,37.07918,-89.16358,
Amblema plicata,inhs,25956,preservedspecimen,1,united states,illinois,embarras river ste. marie rt. 49 bridge north america,2001,38.937,-88.0222,
Amblema plicata,inhs,29161,preservedspecimen,1,united states,indiana,brouilletts creek 0.5 mi n shepardsville co. rd. bridge north america,2004,39.6041,-87.4173,
Amblema plicata,inhs,32390,preservedspecimen,1,united states,illinois,illinois river 3.8 mi nne pearl river mile 46.8 north america,2002,39.50533,-90.5866,
Amblema plicata,inhs,25331,preservedspecimen,1,united states,illinois,kankakee river 2 mi ne aroma park north america,2000,41.08495,-87.78887,
Amblema plicata,inhs,32109,preservedspecimen,1,united states,illinois,saline river s end of equality shawnee forest rd. bridge north america,2007,37.73,-88.3481,
Amblema plicata,inhs,6223,preservedspecimen,6,united states,indiana,wabash river 1 mi se battle ground north america,1988,40.49615,-86.82334,
Amblema plicata,omnh,15395,preservedspecimen,1,united states,oklahoma,davis,1910,34.505147,-97.141658,
Amblema plicata,inhs,28781,preservedspecimen,1,united states,illinois,cypress ditch 0.2 mi nw junction old hwy. 13 north america,2004,37.7292,-88.239,
Amblema plicata,inhs,9060,preservedspecimen,1,united states,illinois,spoon river bernadotte river mile 27.2 north america,1971,40.4035,-90.32114,
Amblema plicata,inhs,40098,preservedspecimen,1,united states,illinois,spoon river elmore spoon river rd. bridge north america,2010,40.95816,-89.97936,
Amblema plicata,inhs,28589,preservedspecimen,1,united states,illinois,fox river aurora above stolp island dam north america,2003,41.75942,-88.31431,
Amblema plicata,omnh,6565,preservedspecimen,1,united states,oklahoma,hulah lake,1991,36.933305,-96.104193,
Amblema plicata,usnm,125790,preservedspecimen,4,united states,texas,little brazos river,,,,
Amblema plicata,usnm,756558,preservedspecimen,1,united states,illinois,,1907,,,
Amblema plicata,usnm,133272,preservedspecimen,4,united states,texas,neches river big eddy,,,,
Amblema plicata,usnm,745925,preservedspecimen,10,united states,wisconsin,seneca,1907,,,
Amblema plicata,usnm,540267,preservedspecimen,2,united states,texas,colorado river,,,,
Amblema plicata,usnm,29120,preservedspecimen,2,united states,ohio,ohio river cincinnati,,,,
Amblema plicata,usnm,746137,preservedspecimen,2,united states,iowa,mosalem,1907,,,
Amblema plicata,usnm,539963,preservedspecimen,4,united states,kansas,wichita,,,,
Amblema plicata,usnm,516324,preservedspecimen,1,united states,texas,brazos river smiley's bluff upper 5 in of bluff,,,,
Amblema plicata,usnm,528827,preservedspecimen,2,united states,iowa,cedar river cedar rapids,1882,,,
Amblema plicata,usnm,530745,preservedspecimen,6,united states,kansas,neosho river 2.50 mile w of americus,,,,
Amblema plicata,usnm,84178,preservedspecimen,2,united states,missouri,james river,,,,
Amblema plicata,usnm,795062,preservedspecimen,4,united states,illinois,mississippi river rock island river mile 481.4-482.1 centennial bridge site,1978,,,
Amblema plicata,usnm,853744,preservedspecimen,8,united states,virginia,pulaski route 100 bridge at new river,1969,,,
Amblema plicata,ncsm,20441,preservedspecimen,1,united states,iowa,mississippi river near davenport [point estimated 0.39 air miles s center davenport] [davenport east quad].,1985,41.5175,-90.5826,
Amblema plicata,ncsm,27012,preservedspecimen,4,united states,alabama,alabama river gardiner island [2.71 air miles ssw center of statesville] [durant bend quad].,2001,32.4375,-86.8567,
Amblema plicata,ncsm,30387,preservedspecimen,2,united states,alabama,tennessee river trm 244.7 across from colbert steam plant 150 m from right descending bank [point estimated 2.82 air miles ene barton] [sinking creek quad].,2002,34.753,-87.84440000000001,
Amblema plicata,ncsm,33756,preservedspecimen,2,united states,ohio,muskingum river [point estimated 0.28 air miles sw center] lowell [lowell quad].,1967,39.5299,-81.51620000000001,
Amblema plicata,ncsm,43344,preservedspecimen,1,united states,kansas,cottonwood river county road 1.6 kilometers [se] of elmdale and highway 50 diamond creek township [elmdale quad].,2002,38.3697,-96.6307,
Amblema plicata,ncsm,43411,preservedspecimen,3,united states,alabama,tennessee river trm 241.4 small unnamed island smithsonia light and day mark 241.4 across from mouth of mulberry creek [5.15 air miles ene center cherokee] [cherokee quad].,2006,34.7838,-87.8876,
Amblema plicata,ncsm,46610,preservedspecimen,9,united states,alabama,tennessee river trm 249.1 buck island 40m downstream from right decending bank lowermost island [point estimated 4.41 air miles w center tuscumbia] [pride quad].,2000,34.7325,-87.7792,
Amblema plicata,usnm,874599,preservedspecimen,2,united states,missouri,castor river zalma near zalma park route 51,1979,,,
Amblema plicata,usnm,150441,preservedspecimen,12,united states,louisiana,sabine river,,,,
Amblema plicata,inhs,13242,preservedspecimen,1,united states,illinois,apple creek 4 mi s white hall rt. 267 north america,1992,39.37878,-90.40926,
Amblema plicata,inhs,46977,preservedspecimen,1,united states,minnesota,red river of the north 6 mi nnw grand forks north america,2008,48.0138,-97.0632,
Amblema plicata,inhs,49007,preservedspecimen,1,united states,minnesota,mississippi river 2.1 mi n la crescent north america,2010,43.85674,-91.30253,
Amblema plicata,inhs,49138,preservedspecimen,1,united states,illinois,north fork vermilion river danville williams st. bridge north america,2014,40.13669,-87.65481,
Amblema plicata,inhs,79423,preservedspecimen,1,united states,minnesota,mississippi river 4 mi s cottage grove; nininger channel; multiple sites in lower pool 2 north america,2010,44.77046,-92.93181,
Amblema plicata,inhs,82855,preservedspecimen,1,united states,missouri,crooked river crooked river conservation area north america,1997,39.40191,-94.04387,
Amblema plicata,inhs,83168,preservedspecimen,1,united states,iowa,iowa river n wapello u.s. hwy. 61 north america,,41.21726,-91.1966,
Amblema plicata,inhs,83180,preservedspecimen,1,united states,wisconsin,mississippi river cassville from riverside park to mouth of dewey creek north america,,42.71681,-90.99903,
Amblema plicata,usnm,84185,preservedspecimen,2,united states,mississippi,,,,,
Amblema plicata,usnm,738353,preservedspecimen,2,united states,kansas,delaware river,1956,,,
Amblema plicata,inhs,85770,preservedspecimen,2,united states,arkansas,ditch no. 10 between rt. 63 and roden rd. north america,,35.68444,-90.58362,
Amblema plicata,inhs,85836,preservedspecimen,1,united states,missouri,mississippi river riverward of canton river mile 342.5 north america,2009,40.12828,-91.51359,
Amblema plicata,usnm,521357,preservedspecimen,3,united states,alabama,coosa river wilsonville,,,,
Amblema plicata,uf,439156-mollusca,preservedspecimen,1,united states,ohio,ohio river; buckley island backchannel,2016,39.3912312,-81.4209442,
Amblema plicata,inhs,22720,preservedspecimen,1,united states,illinois,bay creek 1.5 mi w homberg bay rd. homberg bridge north america,1998,37.32147,-88.57743,
Amblema plicata,inhs,1968,preservedspecimen,1,united states,illinois,fox river yorkville north america,1984,41.64329,-88.44526,
Amblema plicata,inhs,27912,preservedspecimen,1,united states,illinois,mississippi river 1 mi s thebes north america,2002,37.207,-89.4615,
Amblema plicata,inhs,32073,preservedspecimen,1,united states,illinois,big muddy creek 3.25 mi wnw nobel co. rd. 1000n crossing county line north america,2007,38.7158,-88.2823,
Amblema plicata,inhs,5602,preservedspecimen,1,united states,illinois,little wabash river 4.5 mi nw louisville co. rd. 1525 north america,1988,38.83028,-88.5445,
Amblema plicata,inhs,23217,preservedspecimen,1,united states,illinois,little wabash river new haven rt. 141 bridge north america,1999,37.91206,-88.12855,
Amblema plicata,inhs,27486,preservedspecimen,1,united states,illinois,cave creek 3.3 mi s ropers landing north america,2002,37.25657,-88.51461,
Amblema plicata,inhs,25497,preservedspecimen,1,united states,illinois,fountain creek 3 mi sse claytonville north america,2000,40.53065,-87.80621,
Amblema plicata,inhs,30732,preservedspecimen,2,united states,illinois,vermilion river pontiac humiston riverside park north america,2005,40.87741,-88.63291,
Amblema plicata,inhs,6312,preservedspecimen,20,united states,indiana,wabash river vincennes 1 mi downstream of lincoln memorial bridge north america,1988,38.67635,-87.55177,
Amblema plicata,inhs,28047,preservedspecimen,1,united states,illinois,illinois river 2 mi sw meredosia north america,2002,39.81008,-90.58403,
Amblema plicata,inhs,27068,preservedspecimen,1,united states,illinois,spring creek 3 mi e onarga co. rd. 1500n north america,2002,40.72396,-87.95131,
Amblema plicata,inhs,43998,preservedspecimen,1,united states,illinois,mississippi river niota north america,1982,40.61877,-91.29038,
Amblema plicata,inhs,11642,preservedspecimen,1,united states,indiana,east fork white river williams north america,,38.79853,-86.64758,
Amblema plicata,inhs,34799,preservedspecimen,1,united states,illinois,vermilion river 4.5 mi se pontiac co. rd. 1400n bridge north america,2009,40.83068,-88.575,
Amblema plicata,inhs,29970,preservedspecimen,1,united states,illinois,horse creek 3 mi s red bud rt. 3 bridge north america,2004,38.1576,-89.9981,
Amblema plicata,inhs,45066,preservedspecimen,1,united states,illinois,illinois river 0.9 mi w grafton river mile 0.9- 1.0 north america,1966,38.9688,-90.4471,
Amblema plicata,ut,npl00040628.000,fossilspecimen,1,united states,texas,big cypress bayou below fort sherman dam,1996,33.0760348,-94.9992614,
Amblema plicata,ut,ut000042777.000,fossilspecimen,1,united states,illinois,dubois,,,,
Amblema plicata,ut,ut000044257.000,fossilspecimen,1,united states,illinois,mississippi river,,,,
Amblema plicata,ut,npl00040586.000,fossilspecimen,1,united states,texas,crook lake,1993,33.7195307,-95.5846871,
Amblema plicata,usnm,745391,preservedspecimen,4,united states,ohio,; ; united states; ohio; muskingum river below dam at lowell adams twp. washington co.,,,,
Amblema plicata,usnm,514944,preservedspecimen,4,united states,tennessee,; ; united states; tennessee; nashville,,,,
Amblema plicata,usnm,465305,preservedspecimen,2,united states,texas,; ; united states; texas; linn lake,,,,
Amblema plicata,usnm,853312,preservedspecimen,4,united states,texas,; ; united states; texas; cleveland liberty co.; san jacinto riv.,,,,
Amblema plicata,inhs,5906,preservedspecimen,1,united states,illinois,skillet fork 7.5 mi s burnt prairie nw north america,1988,38.15278,-88.22554,
Amblema plicata,inhs,7018,preservedspecimen,1,united states,illinois,vermilion river 5 mi nw pontiac humiston woods north america,1988,40.93529,-88.71721,
Amblema plicata,inhs,25516,preservedspecimen,2,united states,illinois,spring creek 2 mi n crescent city rt. 49 bridge north america,2000,40.80507,-87.86387,
Amblema plicata,inhs,4185,preservedspecimen,2,united states,indiana,tippecanoe river 1.5 mi ne pulaski north america,1987,40.9924,-86.6387,
Amblema plicata,usnm,743147,preservedspecimen,3,united states,kansas,neosho river,1956,,,
Amblema plicata,usnm,508623,preservedspecimen,2,united states,iowa,,,,,
Amblema plicata,usnm,133276,preservedspecimen,4,united states,texas,nails creek,,,,
Amblema plicata,usnm,500006,preservedspecimen,2,united states,arkansas,white river monroe to desha counties,,,,
Amblema plicata,usnm,538762,preservedspecimen,40,united states,texas,brazos river upstream from black bridge,1942,,,
