species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,uf,66083-mollusca,preservedspecimen,1,united states,missouri,columbus,,,,
Amblema plicata,uf,359787-mollusca,preservedspecimen,1,united states,south carolina,lake marion at jacks creek marina at 2.5 air mi. wsw of st. paul.,2002,33.57056,-80.43944,
Amblema plicata,uf,719-mollusca,preservedspecimen,1,united states,michigan,lancaster lake,1950,,,
Amblema plicata,chas,20503,preservedspecimen,1,united states,new york,st. lawrence river thousand island park south bay,1904,,,
Amblema plicata,chas,24283,preservedspecimen,1,united states,pennsylvania,lake erie presque isle bay,1908,,,
Amblema plicata,ncsm,26857,preservedspecimen,5,united states,north carolina,right descending bank devils gut halfway between upper and lower deadwater creeks [2.12 air miles nw jamesville] [jamesville quad].,2002,35.8345,-76.9215,
Amblema plicata,ncsm,27276,preservedspecimen,8,united states,tennessee,nolichucky river (upper) below highway 107 bridge [/sr 81] mussels found behind church on backside of island [erwin quad].,2002,36.1219,-82.4428,
Amblema plicata,ncsm,40439,preservedspecimen,2,united states,north carolina,[pee dee river] big island shoal and side channel complex (nc waters 1.0 mile) [5.6 air miles wnw center rockingham] rockingham quad.,2004,34.9514,-79.8725,
Amblema plicata,ncsm,43639,preservedspecimen,12,united states,rhode island,worden pond (south side of) [point estimated 4.48 air miles ssw kingston] [kingston quad],1985,41.4323,-71.6057,
Amblema plicata,ncsm,84060,preservedspecimen,1,united states,north carolina,pee dee river 0.45 kilometers downstream from tillery dam [3.5 air miles wsw center mount gilead] [mount gilead west quad].,2011,35.2032,-80.0617,
Amblema plicata,ncsm,101731,preservedspecimen,12,united states,virginia,occoquan river belmont bay mason neck state park [4.44 air miles s center] lorton [fort belvoir quad].,2015,38.6436,-77.2002,
Amblema plicata,mcz,167689,preservedspecimen,1,united states,michigan,la salle,,,,
Amblema plicata,mcz,225636,preservedspecimen,1,united states,pennsylvania,fairmount dam,,,,
Amblema plicata,mcz,353496,preservedspecimen,1,united states,massachusetts,east bridgewater robbins pond n side along pond st.,2005,,,
Amblema plicata,mcz,375102,preservedspecimen,1,united states,,connecticut hartford county farmington 3 km north of center of town bridge of route 4 farmington river,2001,,,
Amblema plicata,mcz,249369,preservedspecimen,1,united states,new hampshire,kingston pond,,,,
Amblema plicata,cmn,cmnml 021043,preservedspecimen,9,united states,massachusetts,winnecunnet pond bristol co.,1951,41.972778,-71.135556,
Amblema plicata,cmn,cmnml 015139,preservedspecimen,1,canada,ontario,shrewsbury shore lake erie kent co.,1961,42.283333,-81.883333,
Amblema plicata,cmn,cmnml 025967,preservedspecimen,1,canada,ontario,bay of quinte carrying place ameliasburg twp prince edward co. ont,1964,44.058333,-77.583333,
Amblema plicata,cmn,cmnml 006620,preservedspecimen,5,united states,massachusetts,mashpee pond cape cod,1959,41.660278,-70.491111,
Amblema plicata,dmnh,166313,preservedspecimen,1,united states,massachusetts,charles river south natick 2 mi above dam,1928,,,
Amblema plicata,dmnh,227788,preservedspecimen,1,united states,massachusetts,mill river pynchon meadows northampton,1973,,,
Amblema plicata,dmnh,227794,preservedspecimen,1,united states,connecticut,connecticut river glastonbury,1979,,,
Amblema plicata,dmnh,136273,preservedspecimen,1,united states,michigan,bay city,1923,,,
Amblema plicata,dmnh,173592,preservedspecimen,1,united states,,lake erie,,,,
Amblema plicata,cm,61.4840-cm,preservedspecimen,6,united states,pennsylvania,presque isle bay erie big bend(w of waterworks),1910,,,
Amblema plicata,cm,61.4089,preservedspecimen,1,united states,ohio,sandusky bay cedar point lake erie,1909,,,
Amblema plicata,cm,61.4457,preservedspecimen,2,united states,ohio,l erie cedar point,,41.48333,-82.68333,
Amblema plicata,cm,61.7844,preservedspecimen,5,canada,ontario,l erie port rowan,,,,
Amblema plicata,cm,61.10939,preservedspecimen,1,united states,ohio,cuyahoga r hiram garrettsville(near),,41.33333,-81.16667,
Amblema plicata,cm,86558,preservedspecimen,1,united states,ohio,geneva,,,,
Amblema plicata,cm,61.4839,preservedspecimen,1,united states,pennsylvania,presque isle bay erie(flats near w end of bay),1910,,,
Amblema plicata,cm,61.11895,preservedspecimen,2,united states,new york,l ontario,,,,
Amblema plicata,cm,141210,preservedspecimen,1,united states,new york,cassadaga cr ross mills bridge(downstr from) falconer(upstream from),2007,,,
Amblema plicata,cm,64112,preservedspecimen,1,united states,pennsylvania,conneaut outlet conneaut outlet conneaut l(1300-1400ft above / 410m below),2002,41.5997,-80.29898,
Amblema plicata,uf,504845-mollusca,preservedspecimen,1,united states,arkansas,lake maumelle by highway 10,1995,,,
Amblema plicata,usnm,85984,preservedspecimen,4,united states,ohio,grand river,,,,
Amblema plicata,usnm,1276346,preservedspecimen,2,united states,north carolina,; ; united states; north carolina; sta. 090930.1tws pitt county tar river near grimsland river basin pamlico river 35 34 14n 77 09 01w,,,,
Amblema plicata,usnm,85980,preservedspecimen,6,united states,pennsylvania,; ; united states; pennsylvania; schuylkill river,,,,
Amblema plicata,usnm,1438874,preservedspecimen,2,united states,washington d.c.,; ; united states; district of columbia; potomac r. s of aqueduct bridge,,,,
Amblema plicata,usnm,332111,preservedspecimen,3,united states,washington d.c.,; ; united states; district of columbia; potomac river below steel plant,,,,
Amblema plicata,ncsm,766,preservedspecimen,2,united states,north carolina,chowan river 5.5 [air] miles nw [center] eure extension of cr 1201 [tinkham road] to river [winton quad].,1971,36.4743,-76.933,
Amblema plicata,ncsm,5650,preservedspecimen,6,united states,michigan,black river 0.8 kilometers ssw of alverno [aloha quad].,1969,45.5526,-84.3961,
Amblema plicata,ncsm,40477,preservedspecimen,2,united states,north carolina,hitchcock creek shoal and island complex just below us highway 74 bridge (nc waters-5.0 miles) [1.25 air miles ene center pee dee] rockingham quad.,2004,34.9379,-79.8651,
Amblema plicata,ncsm,44965,preservedspecimen,1,united states,virginia,mattaponi river below va route 629 [walkerton road] [0.36 air miles sse center walkerton] [king william quad].,2011,37.72120000000001,-77.0205,
Amblema plicata,ncsm,87546,preservedspecimen,10,united states,north carolina,chowan river tunis [point estimated 2.45 air miles se center winton] [winton quad].,1984,36.3844,-76.8879,
Amblema plicata,chas,1951.5300.385,preservedspecimen,1,united states,florida,enterprise lake monroe,,,,
Amblema plicata,ansp,a11374,preservedspecimen,1,united states,rhode island,worden pond 0.8 miles west of junction of highway 110 and worden pond road,1985,41.433333,-71.566666,
Amblema plicata,ansp,27334,preservedspecimen,10,united states,pennsylvania,philadelphia schuylkill/delaware rivers,,40.009444,-75.206666,
Amblema plicata,ansp,56646,preservedspecimen,4,united states,pennsylvania,philadelphia schuylkill/delaware rivers,,40.009444,-75.206666,
Amblema plicata,ansp,190978,preservedspecimen,1,canada,ontario,bay of quinte belleville,,,,
Amblema plicata,ansp,126794,preservedspecimen,2,united states,,connecticut river,,,,
Amblema plicata,ansp,71577,preservedspecimen,1,united states,new york,niagara r,,,,
Amblema plicata,ansp,126176,preservedspecimen,2,united states,indiana,wabash river new harmony,,,,
Amblema plicata,ansp,312306,preservedspecimen,4,united states,new jersey,delaware river at riverton,1965,,,
Amblema plicata,ansp,68165,preservedspecimen,8,united states,new jersey,swartswood lake,,,,
Amblema plicata,mcz,380276,preservedspecimen,1,united states,rhode island,kingston larkin pond hoffman girl scout camp access north side of pond along route 110,2009,41.4715333333,-71.55835,
Amblema plicata,mcz,231364,preservedspecimen,1,united states,kentucky,rock castle river,,,,
Amblema plicata,mcz,240016,preservedspecimen,1,united states,new jersey,delaware river at riverton,1902,,,
Amblema plicata,mcz,380039,preservedspecimen,1,united states,massachusetts,taunton mill river just below lake sabbatia from bay street crossing downstream 0.5 km along whittenton street whittenton section,2010,41.94385,-70.6833833333,
Amblema plicata,mcz,380084,preservedspecimen,1,united states,massachusetts,taunton/raynham taunton river route 44 crossing between richmond and church streets on townline,2010,41.90335,-70.9955333333,
Amblema plicata,mcz,252202,preservedspecimen,1,united states,new york,normanskill,,,,
Amblema plicata,cmn,cmnml 002709,preservedspecimen,1,united states,pennsylvania,,,,,
Amblema plicata,cmn,cmnml 048175,preservedspecimen,21,,,norfolk co. ontario inner bay 1.1 mi. se of st. williams,1963,42.616667,-80.4,
Amblema plicata,dmnh,213888,preservedspecimen,1,united states,maryland,radcliffe creek chestertown,,,,
Amblema plicata,cm,61.11516,preservedspecimen,6,united states,ohio,l erie cedar point,,41.48333,-82.68333,
Amblema plicata,cm,80832,preservedspecimen,3,united states,massachusetts,connecticut r hadley,,,,
Amblema plicata,cm,80833,preservedspecimen,5,united states,massachusetts,town brook plymouth,,,,
