species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,44198,preservedspecimen,1,united states,illinois,mississippi river 2 mi ssw hartford above cahokia diversion canal confluence river mile 195.2 north america,2012,38.807756,-90.1133,
Amblema plicata,inhs,37217,preservedspecimen,1,united states,illinois,salt fork vermilion river near jct. with middle fork [2.5 mi n catlin] north america,1918,40.10374,-87.71812,
Amblema plicata,inhs,11961,preservedspecimen,1,united states,illinois,mazon river 3.5 mi w coal city hwy. 113 north america,1991,41.286,-88.36051,
Amblema plicata,inhs,37225,preservedspecimen,2,united states,illinois,salt fork vermilion river 2 mi s of muncie north america,1920,40.08891,-87.84239,
Amblema plicata,inhs,14039,preservedspecimen,5,united states,illinois,kaskaskia river e chesterville rt. 133 bridge north america,1956,39.70293,-88.3872,
Amblema plicata,inhs,530,preservedspecimen,11,united states,illinois,rock river below rockford vic. mouth of kishwaukee river north america,,42.18653,-89.13152,
Amblema plicata,inhs,18795,preservedspecimen,1,united states,illinois,mackinaw river 5.2 mi w lexington merwin nature preserve gridley rd. north america,1996,40.6636,-88.8989,
Amblema plicata,inhs,12872,preservedspecimen,9,united states,kentucky,green river 10.4 km ese brownsville mammoth cave national park river mile 194.5 north america,1989,37.1844,-86.15084,
Amblema plicata,inhs,12156,preservedspecimen,1,united states,illinois,middle fork vermilion river 0.75 mi sw armstrong rt. 49 bridge north america,1991,40.29894,-87.89172,
Amblema plicata,inhs,16539,preservedspecimen,2,united states,alabama,paint rock river below maple ford river mile 16.9 north america,1991,34.56164,-86.30662,
Amblema plicata,inhs,24368,preservedspecimen,1,united states,illinois,ohio river downstream of metropolis little chain bar north america,1998,37.18342,-88.79294,
Amblema plicata,inhs,11122,preservedspecimen,1,united states,indiana,sugar creek 0.75 mi e needham co. rd. 350n bridge north america,1990,39.53033,-85.95626,
Amblema plicata,omnh,15489,preservedspecimen,1,united states,louisiana,,1912,29.559383,-90.2828568,
Amblema plicata,inhs,10228,preservedspecimen,1,united states,iowa,mississippi river bettendorf just upstream of i-74 bridge river mile 486 north america,1990,41.51941,-90.50504,
Amblema plicata,inhs,30482,preservedspecimen,3,united states,wisconsin,wisconsin river 1 mi n blue river port andrew boat ramp north america,2002,43.20655,-90.56597,
Amblema plicata,omnh,6518,preservedspecimen,1,united states,oklahoma,ramona,1989,36.508897,-95.842477,
Amblema plicata,inhs,45263,preservedspecimen,1,united states,illinois,illinois river 7.3 mi n meredosia below la grange lock & dam river mile 79.8 north america,1966,39.9349,-90.5348,
Amblema plicata,uf,18907-mollusca,preservedspecimen,1,united states,arkansas,black river pocahantas,1964,,,
Amblema plicata,inhs,3547,preservedspecimen,5,united states,indiana,tippecanoe river talma north america,1987,41.15344,-86.13904,
Amblema plicata,inhs,29382,preservedspecimen,1,united states,illinois,kyte river 1.25 mi sw chana rocky hollow rd. north america,2004,41.9642,-89.2441,
Amblema plicata,inhs,29325,preservedspecimen,1,united states,illinois,mississippi river new boston north america,1965,41.16649,-91.00267,
Amblema plicata,inhs,4441,preservedspecimen,1,united states,illinois,mackinaw river 3 mi n congerville panther creek confluence north america,1987,40.66031,-89.19641,
Amblema plicata,inhs,13058,preservedspecimen,1,united states,illinois,shoal creek 2.5 mi se pocahontas north america,1991,38.8064,-89.49569,
Amblema plicata,uf,270078-mollusca,preservedspecimen,1,united states,kansas,chanute,,,,
Amblema plicata,mcz,220338,preservedspecimen,1,,,ky owsley co. booneville rt 30 at bridge s. fork kentucky r,1958,,,
Amblema plicata,inhs,39881,preservedspecimen,1,united states,illinois,beaver creek 3 mi ene beaverville co. rd. 3100n bridge north america,2010,40.96537,-87.59913,
Amblema plicata,omnh,15491,preservedspecimen,1,united states,oklahoma,wagoner,1911,,,
Amblema plicata,inhs,18197,preservedspecimen,1,united states,illinois,mackinaw river 3.5 mi se tremont co. rd. 1100n north america,,40.48265,-89.42852,
Amblema plicata,uf,484-mollusca,preservedspecimen,1,united states,missouri,nw of nevada mo.,,,,
Amblema plicata,inhs,37153,preservedspecimen,2,united states,illinois,fox river algonquin north america,,42.1656,-88.29047,
Amblema plicata,inhs,43101,preservedspecimen,1,united states,illinois,otter creek 3 mi ne streator e 19th rd. north america,2012,41.14985,-88.79781,
Amblema plicata,inhs,24756,preservedspecimen,1,united states,illinois,vermilion river 2 mi se danville old r.r. trestle north america,2000,40.107,-87.60975,
Amblema plicata,inhs,8057,preservedspecimen,1,united states,illinois,illinois river 4 mi n kampsville retzer's landing river mile 36 north america,1989,39.36098,-90.62392,
Amblema plicata,omnh,6095,preservedspecimen,1,united states,oklahoma,clayton,1987,34.572375,-95.348551,
Amblema plicata,uf,68862-mollusca,preservedspecimen,1,united states,mississippi,yalabusha river grenada,,,,
Amblema plicata,inhs,32911,preservedspecimen,1,united states,illinois,nippersink creek 0.6 mi w spring grove winn rd. upstream from bridge north america,2008,42.44368,-88.2477,
Amblema plicata,inhs,483,preservedspecimen,6,united states,illinois,embarras river lawrenceville gravel pit north america,,,,
Amblema plicata,inhs,8758,preservedspecimen,1,united states,illinois,spoon river 1.5 mi ne maquon below bridge north america,1957,40.80775,-90.13392,
Amblema plicata,inhs,22106,preservedspecimen,1,united states,illinois,rock river 5.5 mi ne byron confluence with tributary north america,1998,42.18074,-89.17706,
Amblema plicata,inhs,27721,preservedspecimen,1,united states,illinois,east fork shoal creek 0.5 mi nw greenville rt. 140/127 bridge north america,2002,38.89785,-89.41996,
Amblema plicata,inhs,44345,preservedspecimen,1,united states,illinois,illinois river 3.4 mi ene seneca marseilles pool north america,2013,41.32604,-88.54642,
Amblema plicata,inhs,11660,preservedspecimen,10,united states,illinois,illinois river below meredosia 4.3 mi wnw bluffs alton pool river mile 66.9 north america,1966,39.7756,-90.6087,
Amblema plicata,inhs,38411,preservedspecimen,13,united states,wisconsin,wisconsin river below kilbourn north america,,43.62036,-89.77358,
Amblema plicata,inhs,3947,preservedspecimen,1,united states,illinois,ohio river 2 mi downstream mouth saline river sturgeon island north america,1986,37.54466,-88.09529,
