species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,13686,preservedspecimen,1,united states,indiana,ryder ditch 2 mi w crothersville co. rd. 600s north america,1992,38.79353,-85.8841,
Amblema plicata,uf,63795-mollusca,preservedspecimen,1,united states,michigan,grand river,,,,
Amblema plicata,inhs,35019,preservedspecimen,1,united states,illinois,big muddy river 5.7 mi wnw mt. vernon co. rd. 1450n bridge north america,2009,38.33701,-89.00419,
Amblema plicata,inhs,25432,preservedspecimen,1,united states,illinois,kankakee river custer park above r.r. bridge north america,2000,41.24527,-88.12767,
Amblema plicata,inhs,13104,preservedspecimen,1,united states,indiana,wabash river mackeys island (=hurricane island) north america,1991,37.82036,-88.05213,
Amblema plicata,inhs,7586,preservedspecimen,1,united states,illinois,trim creek 1 mi w grant park north america,1956,41.23709,-87.65946,
Amblema plicata,inhs,5139,preservedspecimen,1,united states,indiana,wabash river 2 mi s perrysville mouth of jordan creek north america,1988,40.0178,-87.43568,
Amblema plicata,inhs,327,preservedspecimen,1,united states,illinois,salt fork vermilion river homer park north america,,40.05552,-87.95869,
Amblema plicata,inhs,45280,preservedspecimen,1,united states,illinois,illinois river 2.8 mi s kampsville river mile 29.0 north america,1966,39.2569,-90.6077,
Amblema plicata,inhs,28305,preservedspecimen,1,united states,illinois,middle fork sugar creek 2.5 mi ssw stanford co. rd. 150e bridge north america,2003,40.4013,-89.2366,
Amblema plicata,inhs,33327,preservedspecimen,2,united states,wisconsin,wolf river s side shawano hwy. 22 bridge north america,1996,44.758,-88.6102,
Amblema plicata,inhs,19872,preservedspecimen,1,united states,illinois,riley creek 2 mi w charleston north america,1997,39.48992,-88.23161,
Amblema plicata,inhs,1193,preservedspecimen,1,united states,iowa,cedar river north america,,,,
Amblema plicata,uf,268842-mollusca,preservedspecimen,1,united states,georgia,near macon,,,,
Amblema plicata,inhs,8761,preservedspecimen,1,united states,illinois,spoon river 4.75 mi s dahinda above bridge north america,1957,40.85632,-90.10988,
Amblema plicata,inhs,45408,preservedspecimen,1,united states,illinois,illinois river 6.3 mi se griggsville river mile 58.0 north america,1966,39.65682,-90.62674,
Amblema plicata,inhs,19979,preservedspecimen,1,united states,illinois,jordan creek 6 mi ese rossville co. rd. 2100e north america,1997,40.3532,-87.55026,
Amblema plicata,inhs,428,preservedspecimen,1,united states,illinois,quiver creek near havana north america,1894,40.34267,-89.99189,
Amblema plicata,inhs,4092,preservedspecimen,2,united states,illinois,wabash river rochester at riffle north america,1987,38.3448,-87.8249,
Amblema plicata,inhs,39303,preservedspecimen,1,united states,illinois,kickapoo creek w edge downs co. rd. 2000e bridge north america,2010,40.3997,-88.8819,
Amblema plicata,inhs,10770,preservedspecimen,1,united states,indiana,snail creek 1 mi w fairland co. rd. 400n bridge north america,1990,39.58363,-85.88283,
Amblema plicata,inhs,366,preservedspecimen,8,united states,illinois,illinois river peoria lake lower partridge island north america,,40.89749,-89.46152,
Amblema plicata,inhs,19666,preservedspecimen,2,united states,illinois,little vermilion river 1 mi se indianola north america,1997,39.91434,-87.73283,
Amblema plicata,inhs,427,preservedspecimen,1,united states,illinois,quiver creek near havana north america,1894,40.34267,-89.99189,
Amblema plicata,inhs,13421,preservedspecimen,1,united states,illinois,green river amboy just downstream rt. 52 bridge north america,1991,41.71018,-89.32477,
Amblema plicata,inhs,11347,preservedspecimen,4,united states,arkansas,spring river between ravenden and imboden north america,1948,36.22267,-91.21438,
Amblema plicata,inhs,8992,preservedspecimen,3,united states,illinois,spoon river 1.55 mi sw modena river mile 138.0- 138.2 north america,1971,41.11687,-89.78302,
Amblema plicata,inhs,329,preservedspecimen,12,united states,illinois,illinois river havana north america,,40.29708,-90.0684,
Amblema plicata,uf,18871-mollusca,preservedspecimen,1,united states,ohio,mohican r. above confluence with konosing r. newcastle township,1965,,,
Amblema plicata,inhs,15346,preservedspecimen,1,united states,kentucky,barren river richardsville below lock & dam #1 off rt. 263 7 mi nnw bowling green north america,1990,37.09007,-86.49905,
Amblema plicata,inhs,14694,preservedspecimen,1,united states,illinois,fox river carpentersville north america,1993,42.12584,-88.28459,
Amblema plicata,omnh,15550,preservedspecimen,1,united states,texas,benbrook,1978,32.620456,-97.528773,
Amblema plicata,uf,63784-mollusca,preservedspecimen,1,united states,ohio,ohio river cincinnati,,,,
Amblema plicata,inhs,12130,preservedspecimen,6,united states,illinois,trim creek 1 mi sw grant park co. rd. 7000n bridge north america,1991,41.22257,-87.65822,
Amblema plicata,inhs,11909,preservedspecimen,1,united states,illinois,middle fork vermilion river 2.5 mi ene collison co. rd. 900e north america,1991,40.23531,-87.77205,
Amblema plicata,inhs,45286,preservedspecimen,1,united states,illinois,illinois river 1.2 mi se pearl river mile 42.3 north america,1966,39.4468,-90.6097,
Amblema plicata,inhs,34101,preservedspecimen,4,united states,illinois,wabash river north america,,,,
Amblema plicata,inhs,1277,preservedspecimen,4,united states,illinois,middle fork vermilion river 2 mi n penfield north america,1928,40.34107,-87.94234,
Amblema plicata,inhs,1753,preservedspecimen,133,united states,illinois,rock river by mcgregor's site north america,,,,
Amblema plicata,inhs,33975,preservedspecimen,14,united states,illinois,sangamon river mahomet above big 4 r.r. bridge north america,1918,40.18599,-88.40033,
Amblema plicata,inhs,13063,preservedspecimen,1,united states,illinois,vermilion river 3 mi ene leonore north america,1991,41.2086,-88.9303,
Amblema plicata,inhs,18784,preservedspecimen,1,united states,illinois,mackinaw river 5.2 mi w lexington merwin nature preserve gridley rd. north america,1996,40.6636,-88.8989,
Amblema plicata,inhs,27146,preservedspecimen,1,united states,illinois,rock river rockford blackhawk park north america,2002,42.24641,-89.1038,
Amblema plicata,inhs,36174,preservedspecimen,1,united states,missouri,st. francis river 5.5 mi nw greenville hwy. 34 bridge north america,1979,37.19461,-90.50348,
Amblema plicata,mcz,275472,preservedspecimen,1,canada,ontario,pelee id. lake erie,,,,
Amblema plicata,inhs,45221,preservedspecimen,1,united states,illinois,illinois river 2 mi ene browning river mile 99.0- 99.5 north america,1966,40.1378,-90.3353,
Amblema plicata,inhs,11025,preservedspecimen,1,united states,indiana,sugar creek 3 mi wnw fairland london rd. upstream end of broad ripple camp north america,1990,39.60094,-85.92287,
Amblema plicata,inhs,45368,preservedspecimen,1,united states,illinois,illinois river 1.2 mi ese peoria heights upper peoria lake river mile 167.2 north america,1966,40.7395,-89.5528,
Amblema plicata,inhs,45200,preservedspecimen,1,united states,illinois,illinois river 0.7 mi nne hardin river mile 21.7- 22.0 north america,1966,39.1667,-90.6138,
